"filename", "language", "Less", "Markdown", "XML", "CSS", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\save.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 11, 2, 48
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\script.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\share\CloudMail.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 6, 2, 33
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\sound\sound.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 8, 5, 40
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\textMemory\memory.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 12, 2, 76
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\cursor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\getMdText.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\getSelection.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 4, 3, 38
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\insertTextAtCursor.ts", "TypeScript", 0, 0, 0, 0, 96, 0, 0, 4, 7, 107
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\text\replaceText.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 10, 4, 62
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\App\theme\change.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\aboutBox.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 2, 2, 31
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\convert.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 7, 3, 38
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\dragFile.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 9, 2, 90
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\key\fastKey.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 25, 5, 62
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\key\monacoKey.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 11, 3, 56
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Events\pasteEvent.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 14, 6, 75
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Init\allInit.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 22, 5, 102
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Init\blankTextInit.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 4, 1, 29
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Monaco\format\format.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 12, 2, 40
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Monaco\snippets\snippets.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 2, 1, 79
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Parser\VFS.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 6, 2, 34
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Parser\pageBreaker.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 4, 1, 13
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\functions\Parser\renderer.ts", "TypeScript", 0, 0, 0, 0, 232, 0, 0, 41, 14, 287
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\index.ts", "TypeScript", 0, 0, 0, 0, 179, 0, 0, 72, 13, 264
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\types\app.d.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 51, 2, 75
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\types\index.d.ts", "TypeScript", 0, 0, 0, 0, 124, 0, 0, 5, 15, 144
"c:\Learning\sample\synchronous github\MarkdownOL\source\js\types\type.d.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 1, 10, 52
"Total", "-", 259, 103, 1, 3103, 1559, 1804, 196, 772, 887, 8684
